,Gender,Education,AI_Usage,Healthcare,Healthcare_rating,Finance,Finance_rating,Hiring,Hiring_rating,Education,Education_rating,Service,Service_rating,Age
165,Female,Bachelor,Daily,Maybe,3,No,2,Yes,4,Yes,4,Yes,4,25
166,Male,HSC,Daily,No,1,Maybe,1,No,1,Maybe,1,Yes,4,22
167,Female,HSC,Daily,No,3,Maybe,3,Maybe,3,Maybe,3,Maybe,4,23
168,Male,HSC,Daily,Maybe,1,Maybe,3,Yes,1,Maybe,5,Yes,5,21
169,Female,Master,Daily,No,1,Maybe,3,Yes,5,Maybe,3,Yes,4,28
170,Male,HSC,Daily,Yes,3,No,3,No,5,Yes,5,Yes,3,20
171,Male,HSC,Daily,No,1,Maybe,3,Yes,5,Maybe,3,Yes,5,21
172,Male,Bachelor,Daily,No,1,Maybe,5,Yes,5,Maybe,3,Yes,4,20
173,Female,HSC,Daily,No,1,Maybe,1,Yes,5,Maybe,4,Yes,1,21
174,Male,HSC,Daily,No,1,No,3,Yes,5,Maybe,2,Yes,1,21
175,Male,HSC,Daily,No,5,Maybe,5,Maybe,5,Yes,5,Yes,5,21
176,Male,HSC,Daily,No,1,No,5,Yes,1,Maybe,2,Yes,4,22
177,Male,HSC,Daily,Maybe,4,Maybe,4,Maybe,4,Maybe,4,Maybe,4,23
178,Male,HSC,Daily,Maybe,4,Maybe,4,Maybe,4,Maybe,3,Maybe,3,21
179,Male,HSC,Daily,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Yes,4,22
180,Male,HSC,Daily,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Yes,4,23
181,Male,Bachelor,Daily,No,1,Maybe,3,Yes,5,Yes,4,Yes,5,28
182,Male,HSC,Daily,Yes,3,Yes,3,Yes,3,Yes,3,Yes,3,20
183,Female,PhD,Weekly- A few times,No,2,No,2,Maybe,3,Maybe,2,Maybe,2,37
184,Female,Master,Monthly- A few times,Maybe,1,Yes,4,Maybe,2,Maybe,4,Yes,4,33
185,Female,PhD,Daily,No,2,No,2,Maybe,3,Maybe,3,Maybe,3,31
186,Male,PhD,Daily,Maybe,3,No,2,Maybe,3,Yes,3,Yes,4,30
187,Female,Master,Daily,No,1,Maybe,3,Yes,4,Maybe,3,Yes,4,32
188,Male,HSC,Daily,No,3,Maybe,3,Maybe,3,Yes,3,Yes,3,22
189,Male,HSC,Daily,No,2,Yes,3,Maybe,2,Maybe,3,Yes,4,20
190,Male,HSC,Daily,No,3,Maybe,3,Yes,3,Maybe,3,Maybe,3,20
191,Female,HSC,Daily,No,2,Yes,2,Yes,1,Yes,1,Yes,1,21
192,Female,HSC,Daily,No,3,Maybe,4,Maybe,4,Yes,4,Yes,4,19
193,Male,HSC,Daily,Maybe,3,Yes,3,Yes,4,Yes,3,No,3,20
194,Male,HSC,Daily,No,5,No,5,Maybe,3,Maybe,2,Yes,2,20
195,Male,HSC,Daily,No,1,Yes,5,Yes,3,Yes,3,Yes,3,21
196,Female,HSC,Daily,Yes,1,No,2,Yes,1,Yes,5,Yes,5,20
197,Male,Bachelor,Monthly- A few times,Yes,2,Yes,1,Yes,1,Yes,1,Yes,1,21
198,Male,HSC,Weekly- A few times,Yes,2,Yes,2,Yes,2,Yes,2,Yes,5,20
199,Female,HSC,Daily,No,2,Yes,4,No,1,Maybe,3,Yes,4,21
200,Female,HSC,Daily,Maybe,2,Yes,4,Maybe,3,Maybe,3,Maybe,3,20
201,Female,HSC,Daily,No,1,Maybe,2,Yes,4,Maybe,3,Maybe,3,20
202,Male,HSC,Daily,Maybe,2,No,2,Maybe,2,Yes,2,Maybe,2,21
203,Male,HSC,Daily,Maybe,1,Maybe,3,Yes,5,Maybe,2,Yes,3,22
204,Male,Master,Daily,No,1,Maybe,3,Yes,4,Maybe,3,Maybe,3,31
205,Male,HSC,Daily,Maybe,3,Maybe,3,Yes,5,Yes,5,Maybe,2,20
206,Male,Bachelor,Weekly- A few times,Maybe,1,Maybe,3,Yes,4,Yes,3,Maybe,2,21
207,Male,HSC,Weekly- A few times,No,5,Maybe,4,Maybe,5,Yes,4,Yes,4,21
208,Male,Bachelor,Daily,No,1,Maybe,3,Yes,3,Yes,4,Yes,4,20
209,Male,HSC,Monthly- A few times,No,1,No,1,Maybe,3,No,3,Yes,5,21
210,Male,HSC,Monthly- A few times,No,1,No,1,No,1,No,1,No,2,20
211,Male,HSC,Daily,No,3,Maybe,4,Maybe,3,Maybe,3,Maybe,3,20
212,Male,HSC,Weekly- A few times,Maybe,3,Yes,4,Yes,4,Yes,5,Maybe,3,22
213,Male,HSC,Monthly- A few times,Maybe,1,Maybe,3,Yes,4,Maybe,5,Yes,2,19
214,Male,HSC,Daily,No,1,No,3,Maybe,1,No,1,No,1,20
215,Male,HSC,Weekly- A few times,No,3,Yes,4,Yes,3,Yes,5,Yes,4,28
216,Male,Bachelor,Weekly- A few times,No,4,Maybe,4,No,5,No,5,No,4,20
217,Male,HSC,Daily,No,1,No,3,Maybe,2,Maybe,3,Maybe,3,22
218,Male,Bachelor,Weekly- A few times,No,1,Maybe,3,Yes,5,Yes,4,Maybe,3,20
219,Male,HSC,Daily,Maybe,3,Yes,4,Yes,5,Yes,5,Yes,5,26
